Image Name,MH,LR,FJ,BC,RS,SS,NSV,OCS,OCCS,SCBS,SBSC
001.jpg,1,0,0,0,0,1,0,0,1,0,0
002.jpg,1,0,0,0,0,1,0,0,0,1,0
003.jpg,0,0,0,0,0,1,0,1,0,0,0
004.jpg,1,0,0,0,0,1,0,0,0,1,0
005.jpg,1,0,0,0,0,1,0,0,0,1,0
006.jpg,0,1,0,0,0,1,0,0,0,0,1
007.jpg,1,0,0,0,0,1,0,0,0,0,1
008.jpg,1,0,1,0,0,0,0,1,0,0,0
009.jpg,1,0,1,0,0,0,0,0,0,0,1
010.jpg,1,0,0,0,0,0,0,0,0,0,1
011.jpg,0,1,0,0,0,0,0,1,0,0,0
012.jpg,1,0,1,0,0,0,0,0,0,0,1
013.jpg,0,0,0,0,0,0,0,0,0,1,0
014.jpg,0,0,0,1,0,1,0,0,0,0,1
015.jpg,1,0,1,0,0,0,0,0,0,0,1
016.jpg,1,0,0,0,0,1,0,0,0,0,1
017.jpg,1,0,1,0,0,0,0,0,0,0,1
018.jpg,0,0,0,1,0,0,0,1,0,0,0
019.jpg,1,0,0,0,0,1,0,0,0,0,1
020.jpg,0,0,0,1,0,0,0,1,0,0,0
021.jpg,0,0,1,1,0,0,0,0,0,0,1
022.jpg,0,1,0,0,0,0,0,0,1,0,0
023.jpg,1,0,1,0,0,0,0,0,0,0,1
024.jpg,1,1,0,0,0,0,0,0,0,0,1
025.jpg,0,0,0,1,0,0,0,0,1,0,0
026.jpg,1,0,1,0,0,1,0,0,0,1,0
027.jpg,1,0,1,0,0,1,0,0,0,0,1
028.jpg,0,0,0,1,1,0,1,0,0,0,0
029.jpg,1,0,1,0,1,0,0,0,0,0,1
030.jpg,0,0,0,0,0,0,0,0,0,0,1
031.jpg,1,0,0,0,0,1,0,0,1,0,0
032.jpg,1,0,0,0,0,1,0,0,1,0,0
033.jpg,1,0,1,0,0,1,1,0,0,0,0
034.jpg,1,0,1,0,0,1,0,0,0,0,1
035.jpg,0,0,0,1,0,0,0,1,0,0,0
036.jpg,1,1,0,0,0,0,0,0,1,0,0
037.jpg,0,1,1,0,0,0,0,0,0,0,1
038.jpg,0,0,0,1,0,0,0,0,0,0,1
039.jpg,1,0,0,0,0,1,0,0,0,1,0
040.jpg,1,0,1,0,0,0,0,0,0,1,0
041.jpg,0,0,0,0,1,0,0,0,0,0,1
042.jpg,0,0,0,0,0,0,0,0,0,0,1
043.jpg,0,1,0,1,0,0,0,0,0,0,1
044.jpg,0,0,0,1,0,1,0,0,1,0,0
045.jpg,1,0,1,0,0,0,0,0,0,0,1
046.jpg,1,0,1,0,1,0,0,0,0,0,1
047.jpg,1,0,0,0,0,0,0,0,0,0,1
048.jpg,1,0,0,0,0,1,0,0,1,0,0
049.jpg,1,0,0,0,0,0,0,0,0,1,0
050.jpg,0,0,1,0,0,0,0,0,0,0,1
051.jpg,0,1,0,1,1,0,0,0,0,1,0
052.jpg,0,0,0,1,0,0,0,0,0,0,1
053.jpg,0,1,0,1,0,0,1,0,0,0,0
054.jpg,1,0,1,0,0,0,0,0,0,1,0
055.jpg,0,0,0,1,0,0,0,0,0,1,0
056.jpg,0,1,0,0,1,0,0,0,1,0,0
057.jpg,1,0,1,0,0,0,0,0,0,0,1
058.jpg,1,0,1,0,1,0,0,0,0,0,1
059.jpg,1,0,1,0,0,0,0,0,0,0,1
060.jpg,0,0,1,0,0,0,0,0,0,0,1
061.jpg,0,1,0,1,1,0,0,0,0,1,0
062.jpg,0,1,0,0,0,0,0,0,0,0,1
063.jpg,0,0,1,0,0,0,0,0,0,1,0
064.jpg,0,0,0,0,0,0,0,0,0,0,1
065.jpg,0,0,0,1,0,0,0,0,0,1,0
066.jpg,0,0,0,0,0,0,1,0,0,0,0
067.jpg,0,1,0,0,0,0,0,1,0,0,0
068.jpg,0,1,0,1,0,0,0,0,0,0,1
069.jpg,1,0,0,0,0,0,0,0,0,0,1
070.jpg,0,1,0,0,0,0,0,1,0,0,0
071.jpg,0,0,0,1,1,0,0,0,0,0,1
072.jpg,0,0,0,1,0,0,0,0,0,0,1
073.jpg,1,0,0,0,1,0,0,0,0,0,1
074.jpg,1,0,0,0,0,0,0,0,1,0,0
075.jpg,0,0,0,0,0,1,1,0,0,0,0
076.jpg,0,0,0,0,0,1,0,1,0,0,0
077.jpg,1,0,1,0,0,0,0,0,0,0,1
078.jpg,1,0,0,0,0,0,0,0,0,0,1
079.jpg,0,1,0,1,0,0,0,0,1,0,0
080.jpg,0,1,0,1,0,0,0,0,0,0,1
081.jpg,0,1,0,1,0,0,1,0,0,0,0
082.jpg,1,0,1,0,0,0,0,0,1,0,0
083.jpg,1,1,0,0,0,0,0,1,0,0,0
084.jpg,0,0,0,1,0,0,0,0,0,1,0
085.jpg,0,0,0,1,0,0,1,0,0,0,0
086.jpg,0,0,0,1,0,0,0,1,0,0,0
087.jpg,0,0,0,1,0,0,0,1,0,0,0
088.jpg,0,1,0,1,0,0,0,1,0,0,0
089.jpg,0,1,0,0,0,0,0,0,0,1,0
090.jpg,0,0,1,0,0,1,0,0,0,1,0
091.jpg,0,0,0,1,0,0,1,0,0,0,0
092.jpg,1,0,0,0,0,1,0,0,0,1,0
093.jpg,0,1,0,0,0,0,0,0,0,0,1
094.jpg,0,0,0,1,0,0,1,0,0,0,0
095.jpg,1,0,0,0,0,1,0,0,1,0,0
096.jpg,0,0,0,1,0,0,0,0,1,0,0
097.jpg,0,1,0,0,0,0,0,1,0,0,0
098.jpg,0,1,1,0,0,0,0,0,0,0,1
099.jpg,1,1,1,0,0,0,0,0,1,0,0
100.jpg,0,1,0,0,0,0,0,1,0,0,0
101.jpg,0,1,0,0,0,0,0,0,0,0,1
102.jpg,0,1,0,0,1,0,0,1,0,0,0
103.jpg,0,0,1,0,0,0,0,1,0,0,0
104.jpg,0,0,0,1,0,0,0,1,0,0,0
105.jpg,0,1,1,0,0,0,1,0,0,0,0
106.jpg,1,1,0,0,0,0,0,0,0,1,0
107.jpg,0,0,0,1,0,1,0,1,0,0,0
108.jpg,0,0,0,1,0,1,1,0,0,0,0
109.jpg,0,0,0,0,1,1,1,0,0,0,0
110.jpg,0,0,0,1,0,0,0,1,0,0,0
111.jpg,1,0,0,0,0,0,0,0,0,0,1
112.jpg,1,0,0,0,1,1,0,0,0,0,1
113.jpg,0,1,0,0,0,0,0,0,0,0,1
114.jpg,1,1,0,0,0,0,0,0,0,0,1
115.jpg,1,1,0,1,0,0,0,1,0,0,0
116.jpg,0,1,0,0,0,0,0,1,0,0,0
117.jpg,0,0,0,1,0,0,0,0,0,1,0
118.jpg,1,1,0,1,0,0,0,0,0,1,0
